sku,source_code,name,brand,size,price,product_type,file_category,file_confidence,final_category,final_slug,confidence,reason,evidence_basis,review_status,review_reason,reviewed_at,stage2_status,tree,is_pilot10,corrected_from_excel,in_original_focus350
ARD-207,207,شاور غلاها زايد,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور غلاها زايد; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-208,208,شاور للصبايا فقط,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور للصبايا فقط; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-209,209,شاور فاطمه,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور فاطمه; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-2006,2006,شاور عروسة,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور عروسة; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-2007,2007,شاور فقط للنساء,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور فقط للنساء; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-2009,2009,شاور مكياج,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور مكياج; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-2010,2010,شاور انوثة,أرض الخليج,,8000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور انوثة; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-564,564,بودره مربعه فقط لنساء,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه فقط لنساء; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-565,565,بودره مربعه مكياج وردي,أرض الخليج,,7000,بودرة أو منتج تجميل,البودرة ومنتجات التجميل,high,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه مكياج وردي; product_type=بودرة أو منتج تجميل,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,NO
ARD-566,566,بودره مربعه غلاها زايد,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه غلاها زايد; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-567,567,بودره مربعه الانوثه,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه الانوثه; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-568,568,بودره مربعه لصبايا,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه لصبايا; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-569,569,بودره مربعه فاطمه,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه فاطمه; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-570,570,بودره مربعه عطر العروسه,أرض الخليج,,7000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=بودره مربعه عطر العروسه; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-595,595,بودره بوري فقط لنساء,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري فقط لنساء; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-597,597,بودره بوري غلاها زايد,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري غلاها زايد; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-598,598,بودره بوري عطر العروسه,أرض الخليج,,3000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=بودره بوري عطر العروسه; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-599,599,بودره بوري الانوثة,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري الانوثة; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-600,600,بودره بوري فاطمه,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري فاطمه; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-601,601,بودره بوري للصبايا,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري للصبايا; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3425,3425,بودره مربعه جمال,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه جمال; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3426,3426,بودره مربعه ماريا,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه ماريا; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3427,3427,بودره مربعه نيشان,أرض الخليج,,7000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره مربعه نيشان; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3553,3553,بودره بوري جمال,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري جمال; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3554,3554,بودره بوري نيشان,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري نيشان; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3555,3555,بودره بوري ماريا,أرض الخليج,,3000,عطر,العطور,medium,البودرة ومنتجات التجميل,powder-makeup,high,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,name=بودره بوري ماريا; product_type=عطر,corrected,true powder cosmetic (بودره مربعه/بوري); restore powder-makeup leaf,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-119,119,عطر مكياج 100 مل,أرض الخليج,100 مل,18000,بودرة أو منتج تجميل,البودرة ومنتجات التجميل,high,العطور,perfumes,high,standard perfume,name=عطر مكياج 100 مل; product_type=بودرة أو منتج تجميل,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,NO
ARD-120,120,عطر مكياج بنفسجي 100 مل,أرض الخليج,100 مل,18000,بودرة أو منتج تجميل,البودرة ومنتجات التجميل,high,العطور,perfumes,high,standard perfume,name=عطر مكياج بنفسجي 100 مل; product_type=بودرة أو منتج تجميل,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,NO
ARD-1225,1225,سيت عطور أرض الخليج 25 مل,أرض الخليج,25 مل,40000,مجموعة عطرية,العطور,high,العطور,perfumes,high,workbook category retained after rules miss,name=سيت عطور أرض الخليج 25 مل; product_type=مجموعة عطرية,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-5006,5006,عطر مكياج رومانسي 100 مل,أرض الخليج,100 مل,18000,بودرة أو منتج تجميل,البودرة ومنتجات التجميل,high,العطور,perfumes,high,standard perfume,name=عطر مكياج رومانسي 100 مل; product_type=بودرة أو منتج تجميل,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,NO
ARD-340,340,عطر مكياج 50 مل,أرض الخليج,50 مل,4000,بودرة أو منتج تجميل,البودرة ومنتجات التجميل,high,العطور,perfumes,high,standard perfume,name=عطر مكياج 50 مل; product_type=بودرة أو منتج تجميل,corrected,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,NO
ARD-124,124,معطر احلى النساء,أرض الخليج,,3000,معطر,معطرات الجسم والبودي مست,medium,معطرات الجسم والبودي مست,body-mist-splash,medium,workbook category retained after rules miss,name=معطر احلى النساء; product_type=معطر,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-126,126,معطر الانوثه,أرض الخليج,,3000,معطر,معطرات الجسم والبودي مست,medium,معطرات الجسم والبودي مست,body-mist-splash,medium,workbook category retained after rules miss,name=معطر الانوثه; product_type=معطر,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
