merchant_sku,storage_path,local_sha256,remote_sha256,sha_match,public_url,public_get_status,mime,upload_status,notes,execution_status,production_storage_writes,production_db_writes
ARD-2511,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2511-3DB85A32.webp,3DB85A32E124DB200154A9BADBAF2C8A7FEA526052812B820E28A66CD0210950,3DB85A32E124DB200154A9BADBAF2C8A7FEA526052812B820E28A66CD0210950,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2511-3DB85A32.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-2793,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2793-2727DBE6.webp,2727DBE666AA59F84799AD31114DE479A5140F5505272711030EA860830DB6C9,2727DBE666AA59F84799AD31114DE479A5140F5505272711030EA860830DB6C9,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2793-2727DBE6.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-2797,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2797-82D65227.webp,82D652273DA94ED0CEE4DB637BE6F429B02C2149A5723892F59B2C4EDEB97024,82D652273DA94ED0CEE4DB637BE6F429B02C2149A5723892F59B2C4EDEB97024,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2797-82D65227.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-2932,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2932-EE63C035.webp,EE63C03520FE4C16AA80DEB0D47122A540074D9B4D123CBC96B0E122741DD119,EE63C03520FE4C16AA80DEB0D47122A540074D9B4D123CBC96B0E122741DD119,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2932-EE63C035.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-4564,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4564-120C9873.webp,120C9873E53A41EBC70F3AE5E8EF23B33921289539356EF0A0B1E0A0924D0541,120C9873E53A41EBC70F3AE5E8EF23B33921289539356EF0A0B1E0A0924D0541,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4564-120C9873.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-4752,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4752-E0CF56D2.webp,E0CF56D25300F722C198FD609F1482D1C956AB6893B091FBD44FB446632650F2,E0CF56D25300F722C198FD609F1482D1C956AB6893B091FBD44FB446632650F2,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4752-E0CF56D2.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-4792,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4792-315545AD.webp,315545ADCF0C8DDF57704E68A8527EBED0C41741988F72E21A6F9065EAD0B89B,315545ADCF0C8DDF57704E68A8527EBED0C41741988F72E21A6F9065EAD0B89B,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4792-315545AD.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-775,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-775-A662A1D1.webp,A662A1D1133ACF0BD35AE1A00D5B4FB423FE20E25CD303BD3C63AF33AB16337A,A662A1D1133ACF0BD35AE1A00D5B4FB423FE20E25CD303BD3C63AF33AB16337A,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-775-A662A1D1.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
ARD-823,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-823-70874516.webp,708745168955D575C3F24C30799C5DB0D964B5227AEDB5C3956E21A795706160,708745168955D575C3F24C30799C5DB0D964B5227AEDB5C3956E21A795706160,YES,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-823-70874516.webp,200,image/webp,uploaded_verified,immutable_path_verified,EXECUTED,YES,YES
